Country,Population,Date,Source
Mainland China,1401884960,23 Mar 2020,National population clock
India,1360134418,23 Mar 2020,National population clock
US,329499412,23 Mar 2020,National population clock
Indonesia,266911900,1 Jul 2019,National annual projection
Pakistan,219038520,23 Mar 2020,2017 census
Brazil,211292583,23 Mar 2020,National population clock
Nigeria,206139587,1 Jul 2020,UN projection
Bangladesh,168315660,23 Mar 2020,National population clock
Russia,146745098,1 Jan 2020,National estimate
Mexico,126577691,1 Jul 2019,National annual projection
Japan,126010000,1 Feb 2020,Monthly provisional estimate
Philippines,108442480,23 Mar 2020,National population clock
Egypt,100157697,23 Mar 2020,National population clock
Ethiopia,98665000,1 Jul 2019,National annual projection
Vietnam,96208984,1 Apr 2019,Preliminary 2019 census result
DR Congo,89561404,1 Jul 2020,UN projection
Iran,83303782,23 Mar 2020,National population clock
Turkey,83154997,31 Dec 2019,National annual estimate
Germany,83149300,30 Sep 2019,National estimate
France,67069000,1 Feb 2020,Monthly national estimate
Thailand,66484730,23 Mar 2020,National population clock
UK,66435600,30 Jun 2018,National annual estimate
Italy,60243406,31 Oct 2019,Monthly national estimate
South Africa,58775022,1 Jul 2019,National annual estimate
Tanzania,55890747,1 Jul 2019,National annual projection
Myanmar,54339766,1 Jul 2019,National annual projection
South Korea,51780579,1 Jul 2020,National annual projection
Colombia,49395678,30 Jun 2019,National annual projection
Kenya,47564296,31 Aug 2019,2019 census result
Spain,47100396,1 Jul 2019,National estimate
Argentina,44938712,1 Jul 2019,National annual projection
Algeria,43000000,1 Jan 2019,National annual projection
Sudan,42366790,23 Mar 2020,National population clock
Ukraine,41902416,1 Jan 2020,Monthly national estimate
Uganda,40299300,1 Jul 2019,National annual projection
Iraq,39127900,1 Jul 2019,National annual projection
Poland,38386000,30 Jun 2019,National estimate
Canada,37967396,23 Mar 2020,National population clock
Morocco,35847060,23 Mar 2020,National population clock
Saudi Arabia,34218169,1 Jul 2019,National estimate
Uzbekistan,34085148,23 Mar 2020,National population clock
Malaysia,32727760,23 Mar 2020,National population clock
Afghanistan,32225560,1 Jul 2019,National annual estimate
Venezuela,32219521,30 Jun 2019,National annual projection
Peru,32131400,30 Jun 2019,National annual projection
Angola,31127674,2020,National projection
Ghana,30280811,1 Jul 2019,National projection
Mozambique,30066648,2020,National projection
Yemen,29825968,1 Jul 2020,UN projection
Nepal,29609623,1 Jul 2019,National annual projection
Cameroon,26545864,1 Jul 2020,UN projection
Ivory Coast,25823071,1 Jul 2019,National projection
Madagascar,25680342,18 May 2018,Provisional 2018 census result
Australia,25655052,23 Mar 2020,National population clock
North Korea,25450000,1 Jul 2019,National annual projection
Taiwan,23604265,31 Jan 2020,Monthly national estimate
Niger,22314743,1 Jul 2019,National annual projection
Sri Lanka,21803000,1 Jul 2019,National estimate
Burkina Faso,20870060,1 Jul 2019,National annual projection
Mali,19973000,1 Jul 2019,National annual projection
Romania,19405156,1 Jan 2019,National annual estimate
Malawi,19129952,1 Jul 2020,UN projection
Chile,19107216,1 Jul 2019,National annual projection
Kazakhstan,18668312,23 Mar 2020,National population clock
Syria,17500657,1 Jul 2020,UN projection
Ecuador,17449964,23 Mar 2020,National population clock
Netherlands,17447531,23 Mar 2020,National population clock
Zambia,17381168,1 Jul 2019,National annual projection
Guatemala,16604026,1 Jul 2019,National annual projection
Senegal,16209125,1 Jul 2019,National annual projection
Somalia,15893219,1 Jul 2020,UN projection
Chad,15692969,1 Jul 2019,National annual projection
Cambodia,15288489,3 Mar 2019,Provisional 2019 census result
Zimbabwe,15159624,1 Jul 2019,National annual projection
South Sudan,12778250,1 Jul 2019,National annual projection
Rwanda,12374397,1 Jul 2019,National projection annual
Guinea,12218357,1 Jul 2019,National projection
Benin,11733059,1 Jul 2019,National projection annual
Tunisia,11722038,1 Jul 2019,National estimate
Haiti,11577779,1 Jul 2019,National annual projection
Belgium,11524454,1 Jan 2020,Monthly national estimate
Bolivia,11469896,1 Jul 2019,National projection annual
Cuba,11209628,31 Dec 2018,National annual estimate
Burundi,10953317,1 Jul 2019,National annual projection
Greece,10724599,1 Jan 2019,National estimate
Czech Republic,10693939,31 Dec 2019,National quarterly estimate
Jordan,10642156,23 Mar 2020,National population clock
Dominican Republic,10358320,1 Jul 2019,National projection
Sweden,10333456,31 Jan 2020,National monthly estimate
Portugal,10276617,31 Dec 2018,National annual estimate
Azerbaijan,10067108,1 Jan 2020,National estimate
United Arab Emirates,9890400,1 Jul 2020,UN projection
Hungary,9772756,1 Jan 2019,National estimate
Belarus,9413446,4 Oct 2019,Preliminary 2019 census result
Israel,9175500,23 Mar 2020,National population clock
Honduras,9158345,1 Jul 2019,National annual projection
Tajikistan,9127000,1 Jan 2019,National estimate
Papua New Guinea,8935000,2020,National annual projection
Austria,8902600,1 Jan 2020,Quarterly provisional figure
Switzerland,8586550,30 Sep 2019,National provisional figure
Sierra Leone,7901454,1 Jul 2019,National annual projection
Togo,7538000,1 Jul 2019,National annual projection
Hong Kong (China),7500700,31 Dec 2019,National estimate
Paraguay,7152703,1 Jul 2019,National annual projection
Laos,7123205,1 Jul 2019,National annual projection
Bulgaria,7000039,31 Dec 2018,National estimate
Serbia,6963764,1 Jan 2019,National annual estimate
Libya,6871287,1 Jul 2020,UN projection
Lebanon,6825442,1 Jul 2020,UN projection
Kyrgyzstan,6523500,1 Jan 2020,National estimate
El Salvador,6486201,1 Jul 2020,UN projection
Nicaragua,6460411,30 Jun 2018,National estimate
Turkmenistan,6031187,1 Jul 2020,UN projection
Denmark,5822763,1 Jan 2020,National quarterly estimate
Singapore,5703600,30 Jun 2019,National estimate
Finland,5527573,31 Dec 2019,National monthly estimate
Congo,5518092,1 Jul 2020,UN projection
Central African Republic,5496011,1 Jul 2019,National annual projection
Slovakia,5456362,30 Sep 2019,National estimate
Norway,5367580,1 Jan 2020,National quarterly estimate
Costa Rica,5058007,30 Jun 2019,National annual projection
Palestine,4976684,1 Jul 2019,National annual projection
New Zealand,4972468,23 Mar 2020,National population clock
Ireland,4921500,1 Apr 2019,National estimate
Oman,4664790,1 Jan 2020,National estimate
Liberia,4475353,1 Jul 2019,National projection
Kuwait,4420110,1 Jan 2019,National annual estimate
Panama,4218808,1 Jul 2019,National annual projection
Mauritania,4077347,1 Jul 2019,National annual projection
Croatia,4076246,31 Dec 2018,National annual estimate
Georgia,3723464,1 Jan 2019,National annual estimate
Uruguay,3518552,30 Jun 2019,National annual projection
Eritrea,3497117,1 Jul 2019,UN projection
Mongolia,3308952,23 Mar 2020,National population clock
Bosnia and Herzegovina,3301000,1 Jul 2019,UN projection
Puerto Rico (US),3193694,1 Jul 2019,National estimate
Armenia,2957500,30 Sep 2019,National quarterly estimate
Albania,2862427,1 Jan 2019,National annual estimate
Lithuania,2793471,1 Mar 2020,Monthly national estimate
Qatar,2747282,30 Sep 2019,Monthly national estimate
Jamaica,2726667,31 Dec 2018,National estimate
Moldova,2681735,1 Jan 2019,National estimate
Namibia,2458936,1 Jul 2019,National projection
Gambia,2347706,1 Jul 2019,UN projection
Botswana,2338851,1 Jul 2019,National annual projection
Gabon,2172579,1 Jul 2019,UN projection
Slovenia,2094060,1 Oct 2019,National estimate
North Macedonia,2077132,31 Dec 2018,National estimate
Lesotho,2007201,10 Apr 2016,2016 census result
Latvia,1906800,1 Feb 2020,Monthly national estimate
Kosovo,1795666,31 Dec 2018,National annual estimate
Guinea-Bissau,1604528,1 Jul 2019,National annual projection
Bahrain,1543300,1 Jul 2019,National annual projection
East Timor,1387149,1 Jul 2019,National annual projection
Trinidad and Tobago,1363985,30 Jun 2019,National estimate
Equatorial Guinea,1358276,1 Jul 2018,National estimate
Estonia,1328360,1 Jan 2020,National estimate
Mauritius,1265985,1 Jul 2019,National estimate
Eswatini,1093238,11 May 2017,National census result
Djibouti,1078373,1 Jul 2019,National annual projection
Fiji,884887,17 Sep 2017,National census result
Cyprus,875900,31 Dec 2018,National annual estimate
Comoros,873724,1 Jul 2019,National estimate
Guyana,782766,1 Jul 2019,UN projection
Bhutan,741672,1 Jul 2019,National annual projection
Solomon Islands,680806,1 Jul 2019,National annual projection
Macau (China),679600,31 Dec 2019,National quarterly estimate
Montenegro,622359,1 Jan 2018,National estimate
Luxembourg,613894,1 Jan 2019,National estimate
Western Sahara,582463,1 Jul 2019,UN projection
Suriname,581372,1 Jul 2019,UN projection
Cape Verde,550483,1 Jul 2019,National annual projection
Malta,493559,31 Dec 2018,National estimate
Transnistria,469000,1 Jan 2018,National estimate
Brunei,442400,1 Jul 2018,National estimate
Belize,408487,1 Jul 2019,National estimate
Bahamas,385340,1 Jul 2019,National annual projection
Maldives,374775,31 Dec 2018,National annual estimate
Iceland,364260,31 Dec 2019,National quarterly estimate
Northern Cyprus,351965,31 Dec 2017,National estimate
Vanuatu,304500,1 Jul 2018,National annual estimate
Barbados,287025,1 Jul 2019,UN projection
New Caledonia (France),282200,1 Jan 2018,National annual estimate
French Polynesia (France),275918,17 Aug 2017,2017 census results
Abkhazia,244832,1 Jan 2018,National estimate
São Tomé and Príncipe,201784,1 Jul 2018,National estimate
Samoa,200874,1 Jul 2019,National projection
Saint Lucia,178696,1 Jul 2018,National annual estimate
Guam (US),172400,1 Jul 2018,National annual estimate
Curaçao (Netherlands),158665,1 Jan 2019,National annual estimate
Artsakh,148000,1 Jan 2019,National annual estimate
Kiribati,120100,1 Jul 2018,National annual estimate
Aruba (Netherlands),112309,31 Mar 2019,National quarterly estimate
Grenada,112003,1 Jul 2019,UN projection
Saint Vincent and the Grenadines,110608,1 Jul 2019,National estimate
Jersey (UK),106800,31 Dec 2018,National estimate
U.S. Virgin Islands (US),104578,1 Jul 2019,UN projection
F.S. Micronesia,104468,1 Jul 2019,National annual projection
Tonga,100651,30 Nov 2016,2016 census result
Seychelles,97625,30 Jun 2019,National estimate
Antigua and Barbuda,96453,1 Jul 2019,National annual projection
Isle of Man (UK),83314,24 Apr 2016,2016 census result
Andorra,77543,31 Dec 2019,National estimate
Dominica,71808,1 Jul 2019,UN projection
Cayman Islands (UK),65813,31 Dec 2018,National estimate
Bermuda (UK),64027,1 Jul 2019,National annual projection
Guernsey (UK),62792,31 Mar 2019,National estimate
American Samoa (US),56700,1 Jul 2018,National annual estimate
Greenland (Denmark),56081,1 Jan 2020,National estimate
Northern Mariana Islands (US),56200,1 Jul 2018,National annual estimate
Marshall Islands,55500,1 Jul 2018,National annual estimate
South Ossetia,53532,15 Oct 2015,Preliminary 2015 census result
Saint Kitts and Nevis,52823,1 Jul 2019,UN projection
Faroe Islands (Denmark),52124,1 Jan 2020,Monthly national estimate
Turks and Caicos Islands (UK),41369,1 Jul 2018,National estimate
Sint Maarten (Netherlands),40614,1 Jan 2018,National estimate
Liechtenstein,38749,31 Dec 2019,National semi annual estimate
Monaco,38300,31 Dec 2018,National annual estimate
Saint Martin (France),35746,1 Jan 2016,National estimate
Gibraltar (UK),33701,1 Jul 2019,UN projection
San Marino,33574,31 Dec 2019,National monthly estimate
British Virgin Islands (UK),30030,1 Jul 2019,UN projection
Åland Islands (Finland),29885,31 Jan 2020,National annual estimate
Palau,17900,1 Jul 2018,National annual estimate
Cook Islands (NZ),15200,1 Jul 2018,National annual estimate
Anguilla (UK),14869,1 Jul 2019,UN projection
Wallis and Futuna (France),11700,1 Jul 2018,National annual estimate
Nauru,11000,1 Jul 2018,National annual estimate
Tuvalu,10200,1 Jul 2018,National annual estimate
